OriginCityName,DestCityName,c
"San Diego CA","Orlando FL",21
"Flint MI","Orlando FL",22
"Grand Rapids MI","New York NY",22
"International Falls MN","Brainerd MN",22
"New York NY","Grand Rapids MI",22
"Providence RI","Philadelphia PA",22
"Washington DC","West Palm Beach/Palm Beach FL",22
"West Palm Beach/Palm Beach FL","Washington DC",22
"Alpena MI","Detroit MI",23
"Atlanta GA","San Jose CA",23
"Brainerd MN","International Falls MN",23
"Chicago IL","Hayden CO",23
"Chicago IL","Jackson WY",23
"Colorado Springs CO","Phoenix AZ",23
"Dallas/Fort Worth TX","Jackson WY",23
"Denver CO","Fayetteville AR",23
"Detroit MI","Alpena MI",23
"Fayetteville AR","Denver CO",23
"Harrisburg PA","Orlando FL",23
"Hayden CO","Chicago IL",23
"Helena MT","Minneapolis MN",23
"Jackson WY","Chicago IL",23
"Jackson WY","Dallas/Fort Worth TX",23
"Minneapolis MN","Helena MT",23
"Orlando FL","Flint MI",23
"Orlando FL","Harrisburg PA",23
"Philadelphia PA","Manchester NH",23
"Philadelphia PA","Providence RI",23
"Phoenix AZ","Colorado Springs CO",23
"San Jose CA","Atlanta GA",23
"Atlanta GA","Portland ME",24
"Birmingham AL","New York NY",24
"Charlotte Amalie VI","Philadelphia PA",24
"Cincinnati OH","Madison WI",24
"Cleveland OH","Burlington VT",24
"Denver CO","Kahului HI",24
"Fayetteville AR","Detroit MI",24
"Fort Lauderdale FL","Tallahassee FL",24
"Greensboro/High Point NC","Cincinnati OH",24
"Iron Mountain/Kingsfd MI","Rhinelander WI",24
"Kahului HI","Denver CO",24
"Lihue HI","Phoenix AZ",24
"New Orleans LA","San Francisco CA",24
"Newark NJ","Syracuse NY",24
"Peoria IL","Minneapolis MN",24
"Philadelphia PA","Charlotte Amalie VI",24
"Phoenix AZ","Lihue HI",24
"Portland ME","Atlanta GA",24
"Rhinelander WI","Iron Mountain/Kingsfd MI",24
"Baton Rouge LA","Memphis TN",25
"Boston MA","Memphis TN",25
"Burlington VT","Cleveland OH",25
"Cincinnati OH","Denver CO",25
"Cincinnati OH","Fayetteville AR",25
"Cincinnati OH","Greer SC",25
"Cincinnati OH","Harrisburg PA",25
"Cincinnati OH","Jacksonville FL",25
"Cincinnati OH","New Orleans LA",25
"Cincinnati OH","San Francisco CA",25
"Denver CO","Eagle CO",25
"Detroit MI","Fayetteville AR",25
"Eagle CO","Denver CO",25
"Fayetteville AR","Cincinnati OH",25
"Greer SC","Cincinnati OH",25
"Harrisburg PA","Cincinnati OH",25
"Jacksonville FL","Cincinnati OH",25
"Knoxville TN","New York NY",25
"Madison WI","Cincinnati OH",25
"Manchester NH","Philadelphia PA",25
"Memphis TN","Baton Rouge LA",25
"Memphis TN","Boston MA",25
"Memphis TN","Phoenix AZ",25
"Memphis TN","Shreveport LA",25
"Minneapolis MN","Peoria IL",25
"New Orleans LA","Cincinnati OH",25
"New York NY","Birmingham AL",25
"New York NY","Knoxville TN",25
"Phoenix AZ","Memphis TN",25
"Raleigh/Durham NC","Cleveland OH",25
"San Francisco CA","Cincinnati OH",25
"San Francisco CA","New Orleans LA",25
"Shreveport LA","Memphis TN",25
"Tallahassee FL","Fort Lauderdale FL",25
"Arcata/Eureka CA","Crescent City CA",26
"Birmingham AL","Denver CO",26
"Buffalo NY","West Palm Beach/Palm Beach FL",26
"Cincinnati OH","Milwaukee WI",26
"Denver CO","Birmingham AL",26
"Des Moines IA","Memphis TN",26
"Des Moines IA","Newark NJ",26
"Fort Myers FL","Nashville TN",26
"Kansas City MO","New York NY",26
"Madison WI","Newark NJ",26
"Memphis TN","Des Moines IA",26
"Memphis TN","Little Rock AR",26
"Memphis TN","Omaha NE",26
"Memphis TN","Pittsburgh PA",26
"Memphis TN","Tampa FL",26
"Memphis TN","Tulsa OK",26
"Milwaukee WI","Cincinnati OH",26
"Milwaukee WI","New Orleans LA",26
"Minneapolis MN","Saginaw/Bay City/Midland MI",26
"Nashville TN","Fort Myers FL",26
"New Orleans LA","Milwaukee WI",26
"Newark NJ","Fayetteville AR",26
"Ontario CA","Reno NV",26
"Pittsburgh PA","Memphis TN",26
"Reno NV","Ontario CA",26
"Saginaw/Bay City/Midland MI","Minneapolis MN",26
"Salt Lake City UT","Tulsa OK",26
"Scranton/Wilkes-Barre PA","Charlotte NC",26
"Tampa FL","Memphis TN",26
"Tulsa OK","Memphis TN",26
"Tulsa OK","Newark NJ",26
"Tulsa OK","Salt Lake City UT",26
"West Palm Beach/Palm Beach FL","Buffalo NY",26
"Anchorage AK","Deadhorse AK",27
"Atlanta GA","Hayden CO",27
"Atlanta GA","Manchester NH",27
"Bloomington/Normal IL","Chicago IL",27
"Bloomington/Normal IL","Minneapolis MN",27
"Charleston SC","New York NY",27
"Charleston/Dunbar WV","New York NY",27
"Charlotte NC","Columbus OH",27
"Charlotte NC","Scranton/Wilkes-Barre PA",27
"Chicago IL","Bloomington/Normal IL",27
"Chicago IL","Marquette MI",27
"Cleveland OH","Greer SC",27
"Columbia SC","Houston TX",27
"Columbus OH","Charlotte NC",27
"Crescent City CA","Arcata/Eureka CA",27
"Dayton OH","Cleveland OH",27
"Denver CO","Huntsville AL",27
"Denver CO","Peoria IL",27
"Detroit MI","Charleston SC",27
"Fayetteville AR","Newark NJ",27
"Grand Junction CO","Houston TX",27
"Greer SC","Cleveland OH",27
"Hayden CO","Atlanta GA",27
"Hilo HI","Los Angeles CA",27
"Honolulu HI","Washington DC",27
"Houston TX","Columbia SC",27
"Houston TX","Grand Junction CO",27
"Houston TX","Montrose/Delta CO",27
"Huntsville AL","Denver CO",27
"Jackson WY","San Francisco CA",27
"Knoxville TN","Newark NJ",27
"Little Rock AR","Memphis TN",27
"Los Angeles CA","Hilo HI",27
"Los Angeles CA","St. George UT",27
"Los Angeles CA","Tampa FL",27
"Marquette MI","Chicago IL",27
"Minneapolis MN","Bloomington/Normal IL",27
"Minneapolis MN","San Jose CA",27
"Minneapolis MN","South Bend IN",27
"Moline IL","Denver CO",27
"Montrose/Delta CO","Houston TX",27
"New York NY","Charleston/Dunbar WV",27
"New York NY","Kansas City MO",27
"New York NY","San Antonio TX",27
"Newark NJ","Des Moines IA",27
"Newark NJ","Knoxville TN",27
"Newark NJ","Madison WI",27
"Newark NJ","Oklahoma City OK",27
"Newark NJ","San Antonio TX",27
"Newark NJ","Tulsa OK",27
"Oklahoma City OK","Newark NJ",27
"Oklahoma City OK","San Francisco CA",27
"Oklahoma City OK","Washington DC",27
"Omaha NE","Memphis TN",27
"Peoria IL","Denver CO",27
"Philadelphia PA","Indianapolis IN",27
"Sacramento CA","Washington DC",27
"San Antonio TX","New York NY",27
"San Antonio TX","Newark NJ",27
"San Francisco CA","Jackson WY",27
"South Bend IN","Minneapolis MN",27
"St. George UT","Los Angeles CA",27
"Syracuse NY","Newark NJ",27
"Tampa FL","Los Angeles CA",27
"Washington DC","Charleston/Dunbar WV",27
"Washington DC","Honolulu HI",27
"Washington DC","Sacramento CA",27
"Albuquerque NM","Kansas City MO",28
"Austin TX","Boston MA",28
"Austin TX","Oakland CA",28
"Austin TX","Tampa FL",28
"Boston MA","Austin TX",28
"Charleston/Dunbar WV","Washington DC",28
