OriginCityName,DestCityName,c
"Philadelphia PA","Baltimore MD",61
"Philadelphia PA","New Orleans LA",61
"Salt Lake City UT","Butte MT",61
"Salt Lake City UT","Grand Junction CO",61
"Seattle WA","Juneau AK",61
"Sitka AK","Juneau AK",61
"Spokane WA","Las Vegas NV",61
"Washington DC","Roanoke VA",61
"Williston ND","Minneapolis MN",61
"Aberdeen SD","Minneapolis MN",62
"Aguadilla PR","New York NY",62
"Akron OH","Fort Myers FL",62
"Akron OH","New York NY",62
"Akron OH","Orlando FL",62
"Anchorage AK","Portland OR",62
"Austin TX","Baltimore MD",62
"Austin TX","Fort Lauderdale FL",62
"Bakersfield CA","San Francisco CA",62
"Baltimore MD","Grand Rapids MI",62
"Baltimore MD","San Diego CA",62
"Birmingham AL","Orlando FL",62
"Boise ID","Las Vegas NV",62
"Boston MA","Pittsburgh PA",62
"Brownsville TX","Dallas/Fort Worth TX",62
"Burbank CA","Salt Lake City UT",62
"Casper WY","Salt Lake City UT",62
"Charleston SC","Houston TX",62
"Charleston SC","Miami FL",62
"Charlottesville VA","Chicago IL",62
"Chicago IL","Charlottesville VA",62
"Chicago IL","Eau Claire WI",62
"Chicago IL","Hancock/Houghton MI",62
"Chicago IL","Jackson/Vicksburg MS",62
"Chicago IL","Kalamazoo MI",62
"Chicago IL","Manhattan/Ft. Riley KS",62
"Chicago IL","Muskegon MI",62
"Chicago IL","Paducah KY",62
"Chicago IL","Reno NV",62
"Cincinnati OH","Miami FL",62
"Cleveland OH","Tampa FL",62
"Colorado Springs CO","Salt Lake City UT",62
"Columbia MO","Atlanta GA",62
"Columbus OH","Fort Myers FL",62
"Columbus OH","Miami FL",62
"Columbus OH","Tampa FL",62
"Dallas/Fort Worth TX","Brownsville TX",62
"Dallas/Fort Worth TX","Fort Wayne IN",62
"Dallas/Fort Worth TX","Fresno CA",62
"Dallas/Fort Worth TX","Garden City KS",62
"Dallas/Fort Worth TX","Grand Junction CO",62
"Dallas/Fort Worth TX","Honolulu HI",62
"Dallas/Fort Worth TX","Joplin MO",62
"Dallas/Fort Worth TX","Lake Charles LA",62
"Dallas/Fort Worth TX","Longview TX",62
"Dallas/Fort Worth TX","Norfolk VA",62
"Dallas/Fort Worth TX","Reno NV",62
"Dallas/Fort Worth TX","Santa Fe NM",62
"Denver CO","Eugene OR",62
"Denver CO","Grand Forks ND",62
"Denver CO","Grand Rapids MI",62
"Denver CO","Laramie WY",62
"Denver CO","Midland/Odessa TX",62
"Des Moines IA","Phoenix AZ",62
"Eau Claire WI","Chicago IL",62
"El Centro CA","Los Angeles CA",62
"Eugene OR","Salt Lake City UT",62
"Fort Lauderdale FL","Austin TX",62
"Fort Lauderdale FL","Nashville TN",62
"Fort Myers FL","Akron OH",62
"Fort Myers FL","Columbus OH",62
"Fort Myers FL","Washington DC",62
"Fort Wayne IN","Dallas/Fort Worth TX",62
"Fresno CA","Dallas/Fort Worth TX",62
"Gainesville FL","Miami FL",62
"Garden City KS","Dallas/Fort Worth TX",62
"Grand Forks ND","Denver CO",62
"Grand Junction CO","Dallas/Fort Worth TX",62
"Grand Rapids MI","Baltimore MD",62
"Greensboro/High Point NC","Miami FL",62
"Hancock/Houghton MI","Chicago IL",62
"Hartford CT","Tampa FL",62
"Hilo HI","Kahului HI",62
"Honolulu HI","Dallas/Fort Worth TX",62
"Honolulu HI","Portland OR",62
"Honolulu HI","San Diego CA",62
"Houston TX","San Jose CA",62
"Houston TX","West Palm Beach/Palm Beach FL",62
"Indianapolis IN","New York NY",62
"Islip NY","Fort Lauderdale FL",62
"Islip NY","West Palm Beach/Palm Beach FL",62
"Jackson/Vicksburg MS","Chicago IL",62
"Joplin MO","Dallas/Fort Worth TX",62
"Juneau AK","Sitka AK",62
"Kahului HI","Hilo HI",62
"Kahului HI","Oakland CA",62
"Kahului HI","Portland OR",62
"Kahului HI","San Jose CA",62
"Kalamazoo MI","Chicago IL",62
"Lake Charles LA","Dallas/Fort Worth TX",62
"Laramie WY","Denver CO",62
"Las Vegas NV","Boise ID",62
"Las Vegas NV","Oklahoma City OK",62
"Las Vegas NV","Omaha NE",62
"Las Vegas NV","Spokane WA",62
"Long Beach CA","Sacramento CA",62
"Longview TX","Dallas/Fort Worth TX",62
"Los Angeles CA","El Centro CA",62
"Louisville KY","Miami FL",62
"Manhattan/Ft. Riley KS","Chicago IL",62
"Miami FL","Charleston SC",62
"Miami FL","Cincinnati OH",62
"Miami FL","Columbus OH",62
"Miami FL","Gainesville FL",62
"Miami FL","Greensboro/High Point NC",62
"Miami FL","Louisville KY",62
"Miami FL","Norfolk VA",62
"Miami FL","Phoenix AZ",62
"Miami FL","Pittsburgh PA",62
"Midland/Odessa TX","Denver CO",62
"Milwaukee WI","Tampa FL",62
"Minneapolis MN","Aberdeen SD",62
"Minneapolis MN","Bemidji MN",62
"Minneapolis MN","Spokane WA",62
"Muskegon MI","Chicago IL",62
"New Orleans LA","Baltimore MD",62
"New Orleans LA","Washington DC",62
"New York NY","Aguadilla PR",62
"New York NY","Akron OH",62
"New York NY","Indianapolis IN",62
"Norfolk VA","Dallas/Fort Worth TX",62
"Norfolk VA","Miami FL",62
"Norfolk VA","New York NY",62
"Norfolk VA","Orlando FL",62
"Oakland CA","Kahului HI",62
"Oklahoma City OK","Las Vegas NV",62
"Omaha NE","Las Vegas NV",62
"Orlando FL","Akron OH",62
"Orlando FL","Birmingham AL",62
"Orlando FL","Richmond VA",62
"Orlando FL","Syracuse NY",62
"Paducah KY","Chicago IL",62
"Palm Springs CA","Salt Lake City UT",62
"Phoenix AZ","Des Moines IA",62
"Phoenix AZ","Miami FL",62
"Pittsburgh PA","Boston MA",62
"Pittsburgh PA","Miami FL",62
"Portland OR","Anchorage AK",62
"Portland OR","Honolulu HI",62
"Portland OR","Kahului HI",62
"Portland OR","Washington DC",62
"Reno NV","Chicago IL",62
"Reno NV","Dallas/Fort Worth TX",62
"Reno NV","Oakland CA",62
"Reno NV","San Diego CA",62
"Richmond VA","Orlando FL",62
"Rock Springs WY","Salt Lake City UT",62
"Sacramento CA","Chicago IL",62
"Sacramento CA","Long Beach CA",62
"Salt Lake City UT","Burbank CA",62
"Salt Lake City UT","Casper WY",62
"Salt Lake City UT","Colorado Springs CO",62
"Salt Lake City UT","Eugene OR",62
"Salt Lake City UT","Palm Springs CA",62
"Salt Lake City UT","Rock Springs WY",62
"San Diego CA","Honolulu HI",62
"San Francisco CA","Bakersfield CA",62
"San Jose CA","Houston TX",62
"San Jose CA","Kahului HI",62
"San Juan PR","Charlotte Amalie VI",62
"San Juan PR","Washington DC",62
"Santa Fe NM","Dallas/Fort Worth TX",62
"Seattle WA","St. Louis MO",62
"Spokane WA","Minneapolis MN",62
"St. Louis MO","Seattle WA",62
"St. Louis MO","Tampa FL",62
"Syracuse NY","Orlando FL",62
"Tampa FL","Cleveland OH",62
"Tampa FL","Columbus OH",62
"Tampa FL","Hartford CT",62
"Tampa FL","Milwaukee WI",62
"Tampa FL","St. Louis MO",62
"Washington DC","Fort Myers FL",62
"Washington DC","Jacksonville FL",62
"Washington DC","Portland OR",62
"Washington DC","San Juan PR",62
"West Palm Beach/Palm Beach FL","Detroit MI",62
"West Palm Beach/Palm Beach FL","Houston TX",62
"West Palm Beach/Palm Beach FL","Islip NY",62
"Albany NY","Orlando FL",63
"Albuquerque NM","Atlanta GA",63
"Austin TX","Salt Lake City UT",63
"Chicago IL","Roanoke VA",63
"Fort Lauderdale FL","Islip NY",63
"Fresno CA","Salt Lake City UT",63
"Houston TX","Knoxville TN",63
"Knoxville TN","Houston TX",63
"Oklahoma City OK","Salt Lake City UT",63
"Orlando FL","Albany NY",63
"Philadelphia PA","San Diego CA",63
"Pittsburgh PA","Newark NJ",63
"Roanoke VA","Chicago IL",63
"Salt Lake City UT","Austin TX",63
"Salt Lake City UT","Fresno CA",63
"Salt Lake City UT","Oklahoma City OK",63
"Washington DC","Pittsburgh PA",63
"Washington DC","Savannah GA",63
"Wichita KS","Denver CO",63
"Atlanta GA","Albuquerque NM",64
"Baltimore MD","New Orleans LA",64
"Bend/Redmond OR","San Francisco CA",64
"Birmingham AL","Miami FL",64
"Buffalo NY","Washington DC",64
"Chicago IL","Savannah GA",64
"Denver CO","Great Falls MT",64
"Denver CO","Wichita KS",64
"Durango CO","Phoenix AZ",64
"Great Falls MT","Denver CO",64
"Miami FL","Birmingham AL",64
"Newark NJ","Albany NY",64
"Phoenix AZ","Durango CO",64
"San Francisco CA","Bend/Redmond OR",64
"Savannah GA","Chicago IL",64
"Savannah GA","Washington DC",64
"Washington DC","Buffalo NY",64
"Albany NY","Newark NJ",65
"Baltimore MD","Portland ME",65
"Baltimore MD","Rochester NY",65
"Buffalo NY","Fort Lauderdale FL",65
"Dayton OH","Baltimore MD",65
"Fort Lauderdale FL","Buffalo NY",65
"Houston TX","Sacramento CA",65
"Los Angeles CA","Cleveland OH",65
"Portland ME","Baltimore MD",65
"Sacramento CA","Houston TX",65
"San Antonio TX","Minneapolis MN",65
"Washington DC","Richmond VA",65
"Albany NY","Washington DC",66
"Austin TX","Orlando FL",66
"Baltimore MD","Dayton OH",66
"Baltimore MD","Las Vegas NV",66
"Dallas/Fort Worth TX","San Juan PR",66
"Fort Lauderdale FL","Providence RI",66
"Fort Myers FL","Houston TX",66
"Fort Myers FL","Milwaukee WI",66
"Houston TX","Fort Myers FL",66
"Houston TX","Portland OR",66
"Houston TX","Valparaiso FL",66
"Las Vegas NV","Baltimore MD",66
"Manchester NH","Orlando FL",66
"Milwaukee WI","Fort Myers FL",66
"Orlando FL","Manchester NH",66
"Portland OR","Houston TX",66
"Providence RI","Fort Lauderdale FL",66
"Rochester NY","Baltimore MD",66
"San Diego CA","Philadelphia PA",66
"San Juan PR","Dallas/Fort Worth TX",66
"Seattle WA","Ontario CA",66
"Valparaiso FL","Houston TX",66
"Washington DC","Albany NY",66
"Chicago IL","Norfolk VA",67
"Cleveland OH","Richmond VA",67
"Kansas City MO","Orlando FL",67
"Las Vegas NV","Nashville TN",67
"Nashville TN","Las Vegas NV",67
"New York NY","Cincinnati OH",67
"Ontario CA","Seattle WA",67
"Orlando FL","Austin TX",67
"Orlando FL","Kansas City MO",67
"Richmond VA","Cleveland OH",67
"Washington DC","Austin TX",67
"Chicago IL","San Jose CA",68
"Cleveland OH","Orlando FL",68
"Dallas/Fort Worth TX","Sioux Falls SD",68
"Dayton OH","Denver CO",68
"Norfolk VA","Chicago IL",68
"Palm Springs CA","Seattle WA",68
"Seattle WA","Palm Springs CA",68
"Sioux Falls SD","Dallas/Fort Worth TX",68
"Washington DC","Rochester NY",68
"Cleveland OH","Los Angeles CA",69
"Denver CO","Dayton OH",69
"Fayetteville AR","New York NY",69
"Indianapolis IN","Tampa FL",69
"New York NY","Fayetteville AR",69
"Orlando FL","Cleveland OH",69
"San Jose CA","Chicago IL",69
"Tampa FL","Indianapolis IN",69
"Charlotte NC","Syracuse NY",70
"Denver CO","Sioux Falls SD",70
"Detroit MI","Newburgh/Poughkeepsie NY",70
"Newburgh/Poughkeepsie NY","Detroit MI",70
"Syracuse NY","Charlotte NC",70
"Denver CO","Hayden CO",71
"Detroit MI","White Plains NY",71
"Hayden CO","Denver CO",71
"Honolulu HI","Las Vegas NV",71
"Las Vegas NV","Honolulu HI",71
"Ontario CA","Portland OR",71
"Portland OR","Ontario CA",71
"White Plains NY","Detroit MI",71
"Austin TX","Washington DC",72
"Birmingham AL","Charlotte NC",72
"Burlington VT","Detroit MI",72
"Charlotte NC","Birmingham AL",72
"Charlotte NC","San Juan PR",72
"Cincinnati OH","Hartford CT",72
"Detroit MI","Burlington VT",72
"Detroit MI","San Antonio TX",72
"Hartford CT","Cincinnati OH",72
"Kahului HI","San Francisco CA",72
"Minneapolis MN","San Antonio TX",72
"San Francisco CA","Kahului HI",72
"Sioux Falls SD","Denver CO",72
"Billings MT","Denver CO",73
"Boston MA","Buffalo NY",73
"Buffalo NY","Boston MA",73
"Denver CO","Billings MT",73
"Philadelphia PA","Seattle WA",73
"San Juan PR","Charlotte NC",73
"Charlotte NC","Greensboro/High Point NC",74
"Dallas/Fort Worth TX","Eagle CO",74
"Eagle CO","Dallas/Fort Worth TX",74
"Greensboro/High Point NC","Charlotte NC",74
"Madison WI","Denver CO",74
"Memphis TN","San Antonio TX",74
"Minneapolis MN","Minot ND",74
"Minot ND","Minneapolis MN",74
"San Antonio TX","Memphis TN",74
"Seattle WA","Philadelphia PA",74
"Austin TX","Memphis TN",75
"Baltimore MD","Cincinnati OH",75
"Cincinnati OH","Baltimore MD",75
"Cincinnati OH","St. Louis MO",75
"Denver CO","Cedar Rapids/Iowa City IA",75
"Detroit MI","Allentown/Bethlehem/Easton PA",75
"Indianapolis IN","Memphis TN",75
"Memphis TN","Austin TX",75
"Memphis TN","Indianapolis IN",75
"Memphis TN","New Orleans LA",75
"Memphis TN","Newark NJ",75
"New Orleans LA","Memphis TN",75
"Newark NJ","Memphis TN",75
"Newark NJ","San Juan PR",75
"Salt Lake City UT","Washington DC",75
"Washington DC","Salt Lake City UT",75
"Allentown/Bethlehem/Easton PA","Detroit MI",76
"Cedar Rapids/Iowa City IA","Denver CO",76
"Grand Rapids MI","Newark NJ",76
"Houston TX","Greer SC",76
"Newark NJ","Grand Rapids MI",76
"San Juan PR","Newark NJ",76
"Atlanta GA","Brunswick GA",77
"Brunswick GA","Atlanta GA",77
"Denver CO","Madison WI",77
"El Paso TX","San Antonio TX",77
"Great Falls MT","Salt Lake City UT",77
"Memphis TN","Houston TX",77
"Memphis TN","Washington DC",77
"Salt Lake City UT","Great Falls MT",77
"San Antonio TX","El Paso TX",77
"Washington DC","Memphis TN",77
"Minneapolis MN","Mosinee WI",78
"Mosinee WI","Minneapolis MN",78
"Atlanta GA","Portland OR",79
"Baltimore MD","Salt Lake City UT",79
"Denver CO","Little Rock AR",79
"Detroit MI","Lexington KY",79
"Detroit MI","Portland ME",79
"Detroit MI","Seattle WA",79
"Helena MT","Salt Lake City UT",79
"Kansas City MO","Washington DC",79
"Lexington KY","Detroit MI",79
"Little Rock AR","Denver CO",79
"Louisville KY","Newark NJ",79
"Newark NJ","Louisville KY",79
"Portland ME","Detroit MI",79
"Portland OR","Atlanta GA",79
"Salt Lake City UT","Baltimore MD",79
"Salt Lake City UT","Helena MT",79
"Salt Lake City UT","St. Louis MO",79
"San Antonio TX","Detroit MI",79
"St. Louis MO","Salt Lake City UT",79
"Washington DC","Greensboro/High Point NC",79
"Cincinnati OH","Memphis TN",80
"Denver CO","Lincoln NE",80
"Denver CO","Pasco/Kennewick/Richland WA",80
"Detroit MI","Greensboro/High Point NC",80
"Greer SC","Houston TX",80
"Huntsville AL","Houston TX",80
"Lincoln NE","Denver CO",80
"Memphis TN","Cincinnati OH",80
"Newark NJ","Dayton OH",80
"Omaha NE","St. Louis MO",80
"Pasco/Kennewick/Richland WA","Denver CO",80
"Richmond VA","Detroit MI",80
"Seattle WA","Detroit MI",80
"Syracuse NY","Detroit MI",80
"Washington DC","Kansas City MO",80
"Baltimore MD","Indianapolis IN",81
"Baltimore MD","Louisville KY",81
"Denver CO","Fresno CA",81
"Denver CO","Idaho Falls ID",81
"Denver CO","Santa Barbara CA",81
"Fairbanks AK","Seattle WA",81
"Fresno CA","Denver CO",81
"Greensboro/High Point NC","Chicago IL",81
"Houston TX","Huntsville AL",81
"Houston TX","Monroe LA",81
"Idaho Falls ID","Denver CO",81
"Jacksonville FL","Washington DC",81
"Lincoln NE","Minneapolis MN",81
"Los Angeles CA","Kansas City MO",81
"Louisville KY","Baltimore MD",81
"Minneapolis MN","Lincoln NE",81
"Monroe LA","Houston TX",81
"Monterey CA","Phoenix AZ",81
"Phoenix AZ","Monterey CA",81
"Salt Lake City UT","Kalispell MT",81
"Santa Barbara CA","Denver CO",81
"Seattle WA","Fairbanks AK",81
"St. Louis MO","Omaha NE",81
"Amarillo TX","Houston TX",82
"Charlotte NC","Austin TX",82
"Charlotte NC","Indianapolis IN",82
"Charlotte NC","San Antonio TX",82
"Detroit MI","Erie PA",82
"Detroit MI","Syracuse NY",82
"Erie PA","Detroit MI",82
"Houston TX","Amarillo TX",82
"Indianapolis IN","Baltimore MD",82
"Kalispell MT","Salt Lake City UT",82
"Lubbock TX","Houston TX",82
"Memphis TN","Salt Lake City UT",82
"Phoenix AZ","Spokane WA",82
"Salt Lake City UT","Memphis TN",82
"Spokane WA","Phoenix AZ",82
"Washington DC","Charleston SC",82
"Anchorage AK","Bethel AK",83
"Austin TX","Charlotte NC",83
"Austin TX","Detroit MI",83
"Bethel AK","Anchorage AK",83
"Charleston SC","Washington DC",83
"Charlotte Amalie VI","San Juan PR",83
"Dallas/Fort Worth TX","Manhattan/Ft. Riley KS",83
"Des Moines IA","Detroit MI",83
"Detroit MI","Austin TX",83
"Detroit MI","Des Moines IA",83
"Greensboro/High Point NC","Washington DC",83
"Houston TX","Lubbock TX",83
"Indianapolis IN","Newark NJ",83
"Manhattan/Ft. Riley KS","Dallas/Fort Worth TX",83
"Miami FL","Nashville TN",83
"Miami FL","St. Louis MO",83
"Nashville TN","Miami FL",83
"San Antonio TX","Charlotte NC",83
"St. Louis MO","Miami FL",83
"Washington DC","Providence RI",83
"Allentown/Bethlehem/Easton PA","Chicago IL",84
"Atlanta GA","Columbus MS",84
"Atlanta GA","Providence RI",84
"Austin TX","El Paso TX",84
"Chicago IL","Allentown/Bethlehem/Easton PA",84
"Chicago IL","Huntsville AL",84
"Detroit MI","Peoria IL",84
"El Paso TX","Austin TX",84
"Elko NV","Salt Lake City UT",84
"Flint MI","Detroit MI",84
"Fort Lauderdale FL","New Orleans LA",84
"Huntsville AL","Chicago IL",84
"Kansas City MO","Los Angeles CA",84
"Kansas City MO","Nashville TN",84
"Laredo TX","Houston TX",84
"Minneapolis MN","San Diego CA",84
"Nashville TN","Jacksonville FL",84
"Nashville TN","Kansas City MO",84
"Peoria IL","Detroit MI",84
"Providence RI","Atlanta GA",84
"Providence RI","Washington DC",84
"Raleigh/Durham NC","Tampa FL",84
"Salt Lake City UT","Pocatello ID",84
"San Diego CA","Minneapolis MN",84
"Santa Ana CA","Minneapolis MN",84
"Cleveland OH","Miami FL",85
"Columbia SC","Dallas/Fort Worth TX",85
"Columbia SC","Washington DC",85
"Columbus MS","Atlanta GA",85
"Dallas/Fort Worth TX","Columbia SC",85
"Dayton OH","Newark NJ",85
"Detroit MI","Flint MI",85
"Houston TX","Laredo TX",85
"Los Angeles CA","Oklahoma City OK",85
"Miami FL","Cleveland OH",85
"Minneapolis MN","Santa Ana CA",85
"New Orleans LA","Fort Lauderdale FL",85
"Oklahoma City OK","Los Angeles CA",85
"Pocatello ID","Salt Lake City UT",85
"Portland OR","Santa Ana CA",85
"Salt Lake City UT","Elko NV",85
"San Diego CA","Tucson AZ",85
"Santa Ana CA","Portland OR",85
"Tucson AZ","San Diego CA",85
"Washington DC","Columbia SC",85
"Atlanta GA","Fort Smith AR",86
"Atlanta GA","Madison WI",86
"Atlanta GA","Valdosta GA",86
"Baltimore MD","Charleston SC",86
"Birmingham AL","Detroit MI",86
"Charleston SC","Baltimore MD",86
"Charleston SC","Newark NJ",86
"Chicago IL","Greensboro/High Point NC",86
"Dayton OH","Detroit MI",86
"Detroit MI","Birmingham AL",86
"Detroit MI","Dayton OH",86
"Detroit MI","Knoxville TN",86
"Detroit MI","Manchester NH",86
"Detroit MI","Moline IL",86
"Detroit MI","Omaha NE",86
"Detroit MI","Richmond VA",86
"Detroit MI","San Francisco CA",86
"Fort Lauderdale FL","San Francisco CA",86
"Fort Smith AR","Atlanta GA",86
"Jacksonville FL","Chicago IL",86
"Kansas City MO","Salt Lake City UT",86
"Madison WI","Atlanta GA",86
"Manchester NH","Detroit MI",86
"Minneapolis MN","Columbus OH",86
"Minneapolis MN","Portland OR",86
"Minneapolis MN","Wichita KS",86
"Moline IL","Detroit MI",86
"Omaha NE","Detroit MI",86
"Salt Lake City UT","Kansas City MO",86
"San Francisco CA","Fort Lauderdale FL",86
"Valdosta GA","Atlanta GA",86
"Wichita KS","Minneapolis MN",86
"Akron OH","Detroit MI",87
"Albany GA","Atlanta GA",87
"Albany NY","Atlanta GA",87
"Albuquerque NM","Salt Lake City UT",87
"Atlanta GA","Albany GA",87
"Atlanta GA","Albany NY",87
"Atlanta GA","Charlottesville VA",87
"Atlanta GA","Des Moines IA",87
"Atlanta GA","Fort Wayne IN",87
"Charlottesville VA","Atlanta GA",87
"Cincinnati OH","Orlando FL",87
"Dayton OH","Minneapolis MN",87
"Des Moines IA","Atlanta GA",87
"Detroit MI","Akron OH",87
"Detroit MI","Cleveland OH",87
"Detroit MI","Evansville IN",87
"Evansville IN","Detroit MI",87
"Fort Wayne IN","Atlanta GA",87
"Knoxville TN","Detroit MI",87
"La Crosse WI","Minneapolis MN",87
"Milwaukee WI","Baltimore MD",87
"Milwaukee WI","Houston TX",87
"Minneapolis MN","Dayton OH",87
"Minneapolis MN","La Crosse WI",87
"Newark NJ","Charleston SC",87
"Orlando FL","Cincinnati OH",87
"Pittsburgh PA","Baltimore MD",87
"Portland OR","Minneapolis MN",87
"Salt Lake City UT","Albuquerque NM",87
"South Bend IN","Atlanta GA",87
"Allentown/Bethlehem/Easton PA","Atlanta GA",88
"Anchorage AK","Juneau AK",88
"Atlanta GA","Allentown/Bethlehem/Easton PA",88
"Atlanta GA","Bloomington/Normal IL",88
"Atlanta GA","Moline IL",88
"Atlanta GA","Peoria IL",88
"Atlanta GA","Syracuse NY",88
"Austin TX","Minneapolis MN",88
"Baltimore MD","Milwaukee WI",88
"Bloomington/Normal IL","Atlanta GA",88
"Burbank CA","Seattle WA",88
"Chicago IL","Columbia SC",88
"Cincinnati OH","Philadelphia PA",88
"Columbia SC","Chicago IL",88
"Columbus OH","Minneapolis MN",88
"Dallas TX","Birmingham AL",88
"Detroit MI","Kansas City MO",88
"Fort Lauderdale FL","White Plains NY",88
"Greensboro/High Point NC","Newark NJ",88
"Juneau AK","Anchorage AK",88
"Long Beach CA","Portland OR",88
"Los Angeles CA","Yuma AZ",88
"Minneapolis MN","Austin TX",88
"Moline IL","Atlanta GA",88
"New Orleans LA","Tampa FL",88
"Newark NJ","Greensboro/High Point NC",88
"Peoria IL","Atlanta GA",88
"Philadelphia PA","Cincinnati OH",88
"Portland OR","Long Beach CA",88
"San Francisco CA","Detroit MI",88
"Seattle WA","Burbank CA",88
"Syracuse NY","Atlanta GA",88
"Tampa FL","Raleigh/Durham NC",88
"Tyler TX","Houston TX",88
"Yuma AZ","Los Angeles CA",88
"Atlanta GA","South Bend IN",89
"Austin TX","Las Vegas NV",89
"Bakersfield CA","Phoenix AZ",89
"Birmingham AL","Dallas TX",89
"Charleston SC","Dallas/Fort Worth TX",89
"Chicago IL","El Paso TX",89
"Chicago IL","Lansing MI",89
"Chicago IL","Springfield IL",89
"Columbus OH","Phoenix AZ",89
"Dallas/Fort Worth TX","Charleston SC",89
"Dallas/Fort Worth TX","Dayton OH",89
"Dallas/Fort Worth TX","Greensboro/High Point NC",89
"Dallas/Fort Worth TX","Greer SC",89
"Dallas/Fort Worth TX","Huntsville AL",89
"Dallas/Fort Worth TX","Lexington KY",89
"Dallas/Fort Worth TX","Mobile AL",89
"Dallas/Fort Worth TX","Moline IL",89
"Dallas/Fort Worth TX","Monroe LA",89
"Dallas/Fort Worth TX","Montgomery AL",89
"Dallas/Fort Worth TX","Richmond VA",89
"Dallas/Fort Worth TX","Roswell NM",89
"Dallas/Fort Worth TX","Texarkana AR",89
"Dayton OH","Dallas/Fort Worth TX",89
"Denver CO","Gillette WY",89
"El Paso TX","Las Vegas NV",89
"Eugene OR","Portland OR",89
"Gillette WY","Denver CO",89
"Greensboro/High Point NC","Dallas/Fort Worth TX",89
"Greer SC","Dallas/Fort Worth TX",89
"Houston TX","Tyler TX",89
"Huntsville AL","Dallas/Fort Worth TX",89
"Jacksonville FL","Nashville TN",89
"Lansing MI","Chicago IL",89
"Lexington KY","Dallas/Fort Worth TX",89
"Minneapolis MN","Memphis TN",89
"Mobile AL","Dallas/Fort Worth TX",89
"Moline IL","Dallas/Fort Worth TX",89
"Monroe LA","Dallas/Fort Worth TX",89
"Montgomery AL","Dallas/Fort Worth TX",89
"Philadelphia PA","Pittsburgh PA",89
"Phoenix AZ","Bakersfield CA",89
"Phoenix AZ","Columbus OH",89
"Phoenix AZ","Pittsburgh PA",89
"Pittsburgh PA","Phoenix AZ",89
"Pittsburgh PA","Tampa FL",89
"Portland OR","Eugene OR",89
"Richmond VA","Dallas/Fort Worth TX",89
"Roswell NM","Dallas/Fort Worth TX",89
"Salt Lake City UT","Tucson AZ",89
"Springfield IL","Chicago IL",89
"Tampa FL","New Orleans LA",89
"Tampa FL","Pittsburgh PA",89
"Texarkana AR","Dallas/Fort Worth TX",89
"Tucson AZ","Salt Lake City UT",89
"White Plains NY","Fort Lauderdale FL",89
"Charlotte NC","Harrisburg PA",90
"Chicago IL","Springfield MO",90
"Cleveland OH","Detroit MI",90
"Cleveland OH","Kansas City MO",90
"El Paso TX","Chicago IL",90
"Harrisburg PA","Charlotte NC",90
"Kansas City MO","Cleveland OH",90
"Kansas City MO","Detroit MI",90
"Las Vegas NV","El Paso TX",90
"Las Vegas NV","Milwaukee WI",90
"Lincoln NE","Chicago IL",90
"Memphis TN","Minneapolis MN",90
"New Orleans LA","Los Angeles CA",90
"New York NY","Norfolk VA",90
"Newark NJ","San Diego CA",90
"Omaha NE","Minneapolis MN",90
"Phoenix AZ","San Luis Obispo CA",90
"San Diego CA","Newark NJ",90
"San Luis Obispo CA","Phoenix AZ",90
"Springfield MO","Chicago IL",90
"Tampa FL","Minneapolis MN",90
"Chicago IL","Lincoln NE",91
"College Station/Bryan TX","Houston TX",91
"Grand Junction CO","Phoenix AZ",91
"Houston TX","College Station/Bryan TX",91
"Houston TX","Milwaukee WI",91
"Indianapolis IN","Chicago IL",91
"Milwaukee WI","Las Vegas NV",91
"Minneapolis MN","Omaha NE",91
"Phoenix AZ","Grand Junction CO",91
"Rapid City SD","Denver CO",91
"Richmond VA","Washington DC",91
"Atlanta GA","Grand Rapids MI",92
"Atlanta GA","Santa Ana CA",92
"Baltimore MD","Pittsburgh PA",92
"Baltimore MD","West Palm Beach/Palm Beach FL",92
"Burbank CA","Portland OR",92
"Denver CO","Missoula MT",92
"Denver CO","Rapid City SD",92
"Grand Rapids MI","Atlanta GA",92
"Honolulu HI","Phoenix AZ",92
"Jackson WY","Salt Lake City UT",92
"Las Vegas NV","St. Louis MO",92
"Las Vegas NV","Washington DC",92
"Minneapolis MN","Tampa FL",92
"Modesto CA","San Francisco CA",92
"Phoenix AZ","Honolulu HI",92
"Portland OR","Burbank CA",92
"Portland OR","San Diego CA",92
"San Diego CA","Portland OR",92
"Santa Ana CA","Atlanta GA",92
"Alexandria LA","Dallas/Fort Worth TX",93
"Baltimore MD","Jacksonville FL",93
"Baltimore MD","Miami FL",93
"Birmingham AL","Dallas/Fort Worth TX",93
"Boise ID","Phoenix AZ",93
"Charlotte Amalie VI","Miami FL",93
"Chicago IL","Saginaw/Bay City/Midland MI",93
"Chicago IL","Tucson AZ",93
"Chicago IL","West Palm Beach/Palm Beach FL",93
"Chico CA","San Francisco CA",93
"Dallas/Fort Worth TX","Alexandria LA",93
"Dallas/Fort Worth TX","Birmingham AL",93
"Dallas/Fort Worth TX","Fort Myers FL",93
"Dallas/Fort Worth TX","Grand Rapids MI",93
"Dallas/Fort Worth TX","Gulfport/Biloxi MS",93
"Dallas/Fort Worth TX","Hartford CT",93
"Dallas/Fort Worth TX","Madison WI",93
"Dallas/Fort Worth TX","Palm Springs CA",93
"Dallas/Fort Worth TX","Peoria IL",93
"Dallas/Fort Worth TX","Savannah GA",93
