a,b,c
"Minneapolis MN","Indianapolis IN",312
"Minneapolis MN","Madison WI",312
"San Francisco CA","Burbank CA",312
"San Francisco CA","Monterey CA",312
"San Francisco CA","Reno NV",313
"Houston TX","Cleveland OH",315
"Orlando FL","Buffalo NY",315
"Minneapolis MN","Charlotte NC",316
"Omaha NE","Houston TX",316
"Pittsburgh PA","Orlando FL",317
"Charlotte NC","Charleston SC",318
"Lansing MI","Detroit MI",318
"Dayton OH","Chicago IL",321
"San Jose CA","Portland OR",321
"Philadelphia PA","New York NY",322
"Yuma AZ","Phoenix AZ",322
"Kalamazoo MI","Detroit MI",324
"San Juan PR","Atlanta GA",325
"St. Louis MO","New York NY",325
"Minneapolis MN","Duluth MN",326
"Providence RI","Orlando FL",326
"Detroit MI","Boston MA",327
"Minneapolis MN","Grand Forks ND",327
"Nashville TN","Baltimore MD",328
"San Francisco CA","Minneapolis MN",328
"Milwaukee WI","Detroit MI",329
"Hartford CT","Atlanta GA",330
"Minneapolis MN","Las Vegas NV",331
"St. Louis MO","Detroit MI",331
"Newport News/Williamsburg VA","Atlanta GA",332
"Salt Lake City UT","New York NY",333
"Louisville KY","Chicago IL",335
"Denver CO","Colorado Springs CO",336
"Houston TX","Baltimore MD",337
"Philadelphia PA","Las Vegas NV",337
"Richmond VA","Charlotte NC",337
"Tucson AZ","Denver CO",337
"Dallas TX","Amarillo TX",338
"Lexington KY","Chicago IL",338
"Los Angeles CA","Fort Lauderdale FL",338
"White Plains NY","Atlanta GA",338
"Fort Myers FL","Charlotte NC",339
"Syracuse NY","Chicago IL",339
"Fort Lauderdale FL","Boston MA",340
"New Orleans LA","Charlotte NC",340
"San Francisco CA","Eugene OR",340
"San Francisco CA","Medford OR",340
"Santa Ana CA","Houston TX",340
"Washington DC","Cincinnati OH",340
"Salt Lake City UT","Houston TX",343
"Minneapolis MN","Fargo ND",344
"Phoenix AZ","Kansas City MO",344
"Rochester NY","New York NY",345
"New York NY","Fort Myers FL",347
"Dallas/Fort Worth TX","Cedar Rapids/Iowa City IA",348
"Fort Wayne IN","Chicago IL",348
"Los Angeles CA","Austin TX",348
"St. Louis MO","Phoenix AZ",348
"Minneapolis MN","Bismarck/Mandan ND",349
"Newark NJ","Cleveland OH",349
"Newark NJ","Las Vegas NV",349
"Little Rock AR","Houston TX",350
"Sarasota/Bradenton FL","Atlanta GA",351
"Nashville TN","Charlotte NC",352
"Philadelphia PA","Denver CO",352
"Newark NJ","Baltimore MD",353
"Raleigh/Durham NC","Newark NJ",353
"Salt Lake City UT","Portland OR",355
"Las Vegas NV","Detroit MI",356
"Orlando FL","Minneapolis MN",356
"Midland/Odessa TX","Dallas/Fort Worth TX",357
"Panama City FL","Atlanta GA",358
"West Palm Beach/Palm Beach FL","Charlotte NC",358
"Knoxville TN","Chicago IL",359
"Phoenix AZ","Palm Springs CA",360
"Cincinnati OH","Atlanta GA",362
"Fort Lauderdale FL","Detroit MI",362
"Salt Lake City UT","Long Beach CA",362
"Dallas/Fort Worth TX","Cleveland OH",363
"Oklahoma City OK","Denver CO",364
"Reno NV","Phoenix AZ",364
"Seattle WA","San Jose CA",364
"Hartford CT","Baltimore MD",366
"Little Rock AR","Atlanta GA",366
"Ontario CA","Las Vegas NV",366
"Tampa FL","Detroit MI",366
"San Francisco CA","Arcata/Eureka CA",370
"Seattle WA","Houston TX",370
"New Orleans LA","Dallas/Fort Worth TX",372
"Orlando FL","Los Angeles CA",372
"Tampa FL","Miami FL",372
"Miami FL","Key West FL",373
"St. Louis MO","Houston TX",375
"Philadelphia PA","Minneapolis MN",378
"Minneapolis MN","Houston TX",380
"Raleigh/Durham NC","Philadelphia PA",380
"Indianapolis IN","Detroit MI",382
"Madison WI","Detroit MI",383
"Sioux Falls SD","Minneapolis MN",383
"Nashville TN","Denver CO",384
"Philadelphia PA","Miami FL",384
"Tulsa OK","Chicago IL",384
"Denver CO","Boise ID",385
"Tulsa OK","Denver CO",386
"Los Angeles CA","Kahului HI",387
"Rochester NY","Chicago IL",388
"Fairbanks AK","Anchorage AK",389
"Omaha NE","Denver CO",389
"Portland OR","Las Vegas NV",389
"Detroit MI","Denver CO",390
"Green Bay WI","Chicago IL",390
"Jacksonville FL","Charlotte NC",392
"Richmond VA","Chicago IL",392
"Sioux Falls SD","Chicago IL",392
"San Jose CA","Denver CO",393
"St. Louis MO","Minneapolis MN",393
"El Paso TX","Dallas TX",396
"Chicago IL","Austin TX",397
"Houston TX","Birmingham AL",397
"Bristol/Johnson City/Kingsport TN","Atlanta GA",398
"Fargo ND","Chicago IL",398
"Santa Ana CA","Sacramento CA",399
"Ontario CA","Oakland CA",400
"Minneapolis MN","Cincinnati OH",401
"Seattle WA","San Diego CA",402
"Memphis TN","Chicago IL",404
"Dallas TX","Albuquerque NM",407
"Manchester NH","Baltimore MD",407
"Baton Rouge LA","Atlanta GA",410
"Fort Myers FL","Boston MA",410
"Indianapolis IN","Houston TX",410
"St. Louis MO","Denver CO",410
"Houston TX","Baton Rouge LA",411
"Salt Lake City UT","Oakland CA",411
"Seattle WA","Atlanta GA",411
"Tampa FL","Newark NJ",412
"Jackson/Vicksburg MS","Atlanta GA",413
"San Diego CA","Houston TX",413
"Fort Lauderdale FL","Dallas/Fort Worth TX",414
"Gainesville FL","Atlanta GA",414
"Madison WI","Chicago IL",414
"Houston TX","Albuquerque NM",415
"Wichita KS","Chicago IL",415
"Los Angeles CA","Albuquerque NM",416
"Memphis TN","Charlotte NC",416
"San Antonio TX","Phoenix AZ",417
"Dallas/Fort Worth TX","Amarillo TX",418
"Houston TX","Fort Lauderdale FL",418
"Sacramento CA","Denver CO",418
"Seattle WA","Portland OR",418
"Seattle WA","Santa Ana CA",418
"Phoenix AZ","Detroit MI",420
"Lexington KY","Atlanta GA",422
"New York NY","New Orleans LA",422
"St. Louis MO","Newark NJ",424
"Dallas/Fort Worth TX","Abilene TX",426
"Jackson/Vicksburg MS","Dallas/Fort Worth TX",426
"Little Rock AR","Dallas/Fort Worth TX",426
"Monterey CA","Los Angeles CA",426
"Oklahoma City OK","Dallas/Fort Worth TX",426
"Springfield MO","Dallas/Fort Worth TX",426
"Tampa FL","Baltimore MD",426
"Tucson AZ","Dallas/Fort Worth TX",426
"Seattle WA","Minneapolis MN",428
"Milwaukee WI","Denver CO",429
"Newark NJ","Denver CO",429
"Seattle WA","Sacramento CA",431
"Washington DC","Nashville TN",431
"Miami FL","Boston MA",434
"San Francisco CA","Sacramento CA",434
"Tampa FL","Dallas/Fort Worth TX",434
"Dallas/Fort Worth TX","Albuquerque NM",436
"San Francisco CA","Newark NJ",436
"Tampa FL","Philadelphia PA",436
"Jackson/Vicksburg MS","Houston TX",437
"Nashville TN","Detroit MI",438
"Sacramento CA","Ontario CA",438
"Philadelphia PA","Detroit MI",440
"Sacramento CA","Burbank CA",440
"Salt Lake City UT","Atlanta GA",440
"Newark NJ","Los Angeles CA",441
"Orlando FL","Denver CO",441
"Newark NJ","Cincinnati OH",443
"San Antonio TX","Chicago IL",443
"Oklahoma City OK","Chicago IL",444
"Buffalo NY","Atlanta GA",445
"Phoenix AZ","Philadelphia PA",445
"Austin TX","Atlanta GA",446
"Montgomery AL","Atlanta GA",446
"Detroit MI","Baltimore MD",447
"San Juan PR","Fort Lauderdale FL",447
"San Jose CA","Burbank CA",448
"Dallas/Fort Worth TX","Cincinnati OH",450
"Fayetteville NC","Atlanta GA",450
"Philadelphia PA","Los Angeles CA",451
"Seattle WA","Salt Lake City UT",452
"New Orleans LA","Dallas TX",453
"Pittsburgh PA","New York NY",453
"Santa Ana CA","Oakland CA",453
"Atlanta GA","Asheville NC",458
"Los Angeles CA","Carlsbad CA",458
"Providence RI","Baltimore MD",458
"Santa Ana CA","San Jose CA",458
"Greensboro/High Point NC","Atlanta GA",460
"Kansas City MO","Dallas/Fort Worth TX",460
"Mobile AL","Atlanta GA",460
"Santa Ana CA","Chicago IL",460
"Cleveland OH","Atlanta GA",462
"Sacramento CA","Las Vegas NV",462
"Phoenix AZ","Austin TX",463
"Dayton OH","Atlanta GA",464
"St. Louis MO","Dallas TX",464
"Wichita KS","Atlanta GA",464
"New York NY","Columbus OH",465
"Houston TX","Harlingen/San Benito TX",468
"Huntsville AL","Atlanta GA",468
"Nashville TN","Dallas/Fort Worth TX",468
"Tampa FL","Houston TX",468
"Savannah GA","Atlanta GA",469
"San Francisco CA","Atlanta GA",470
"St. Louis MO","Dallas/Fort Worth TX",470
"Valparaiso FL","Atlanta GA",470
"Raleigh/Durham NC","Baltimore MD",471
"Dallas/Fort Worth TX","Baton Rouge LA",472
"Dallas/Fort Worth TX","Corpus Christi TX",472
"Lubbock TX","Dallas/Fort Worth TX",472
"Oakland CA","Las Vegas NV",472
"Detroit MI","Dallas/Fort Worth TX",474
"Columbia SC","Atlanta GA",475
"Greer SC","Atlanta GA",475
"San Juan PR","Miami FL",476
"Tallahassee FL","Atlanta GA",476
"Mission/McAllen/Edinburg TX","Houston TX",477
"Pittsburgh PA","Charlotte NC",477
"Reno NV","Los Angeles CA",478
"Santa Ana CA","Las Vegas NV",479
"Atlanta GA","Akron OH",480
"El Paso TX","Dallas/Fort Worth TX",480
"Fayetteville AR","Dallas/Fort Worth TX",480
"New York NY","Cleveland OH",483
"Lafayette LA","Houston TX",486
"Phoenix AZ","Charlotte NC",487
"Phoenix AZ","Newark NJ",487
"Houston TX","Detroit MI",488
"Los Angeles CA","Boston MA",488
"Shreveport LA","Dallas/Fort Worth TX",488
"Tulsa OK","Dallas/Fort Worth TX",488
"Philadelphia PA","Houston TX",490
"Raleigh/Durham NC","Boston MA",491
"Orlando FL","Detroit MI",495
"Newark NJ","Miami FL",496
"Augusta GA","Atlanta GA",497
"West Palm Beach/Palm Beach FL","Newark NJ",497
"Fayetteville AR","Chicago IL",498
"San Francisco CA","Houston TX",502
"Washington DC","Fort Lauderdale FL",502
"Little Rock AR","Chicago IL",506
"Detroit MI","Charlotte NC",508
"Raleigh/Durham NC","Charlotte NC",508
"Minneapolis MN","Milwaukee WI",511
"Houston TX","El Paso TX",513
"Knoxville TN","Atlanta GA",513
"Chattanooga TN","Atlanta GA",514
"Kansas City MO","Houston TX",517
"Louisville KY","Atlanta GA",518
"Philadelphia PA","Fort Lauderdale FL",520
"Birmingham AL","Atlanta GA",522
"San Jose CA","Las Vegas NV",523
"San Diego CA","Chicago IL",524
"Newark NJ","Detroit MI",525
"Charleston SC","Atlanta GA",526
"Tampa FL","Charlotte NC",528
"Portland OR","Los Angeles CA",530
"San Diego CA","Dallas/Fort Worth TX",531
"San Francisco CA","Palm Springs CA",531
"San Jose CA","San Diego CA",532
"Washington DC","Tampa FL",533
"Fort Lauderdale FL","Charlotte NC",534
"Miami FL","Houston TX",535
"Minneapolis MN","Detroit MI",537
"Orlando FL","Miami FL",538
"Seattle WA","Oakland CA",538
"Killeen TX","Dallas/Fort Worth TX",542
"Nashville TN","Atlanta GA",542
"San Francisco CA","Salt Lake City UT",545
"Miami FL","Los Angeles CA",548
"Salt Lake City UT","Dallas/Fort Worth TX",551
"San Francisco CA","Boston MA",554
"Seattle WA","Dallas/Fort Worth TX",558
"Tucson AZ","Phoenix AZ",558
"San Diego CA","Sacramento CA",564
"Kansas City MO","Dallas TX",566
"Orlando FL","Boston MA",566
"Seattle WA","Las Vegas NV",567
"New York NY","Las Vegas NV",568
"Santa Ana CA","Dallas/Fort Worth TX",568
"Philadelphia PA","Charlotte NC",569
"Nashville TN","Houston TX",570
"Los Angeles CA","Fresno CA",571
"San Juan PR","Orlando FL",571
"Santa Ana CA","Denver CO",572
"San Francisco CA","Philadelphia PA",574
"Denver CO","Aspen CO",575
"New York NY","Nashville TN",576
"Midland/Odessa TX","Houston TX",577
"Minneapolis MN","Dallas/Fort Worth TX",577
"San Jose CA","Phoenix AZ",578
"Hartford CT","Chicago IL",580
"Sacramento CA","Phoenix AZ",581
"Reno NV","Las Vegas NV",582
"Tucson AZ","Los Angeles CA",583
"Fort Myers FL","Chicago IL",584
"Kansas City MO","Denver CO",585
"Norfolk VA","Atlanta GA",587
"Columbus OH","Atlanta GA",588
"Miami FL","Chicago IL",592
"Orlando FL","Charlotte NC",592
"Phoenix AZ","El Paso TX",594
"Washington DC","Raleigh/Durham NC",595
"Portland OR","Phoenix AZ",597
"Milwaukee WI","Atlanta GA",598
"Pensacola FL","Atlanta GA",599
"Orlando FL","Dallas/Fort Worth TX",600
"Kansas City MO","Atlanta GA",602
"Santa Barbara CA","San Francisco CA",602
"Milwaukee WI","Chicago IL",607
"Chicago IL","Buffalo NY",609
"Tampa FL","Chicago IL",609
"New York NY","Buffalo NY",613
"Newark NJ","Dallas/Fort Worth TX",613
"Portland OR","Denver CO",616
"Las Vegas NV","Burbank CA",618
"Orlando FL","Houston TX",621
"Raleigh/Durham NC","Chicago IL",622
"Miami FL","Dallas/Fort Worth TX",628
"Phoenix AZ","Oakland CA",628
"San Antonio TX","Atlanta GA",633
"New York NY","Houston TX",634
"Seattle WA","Chicago IL",635
"St. Louis MO","Atlanta GA",636
"San Diego CA","Oakland CA",638
"Oklahoma City OK","Houston TX",639
"San Francisco CA","Portland OR",641
"Fort Lauderdale FL","Chicago IL",642
"Tulsa OK","Houston TX",642
"Dallas/Fort Worth TX","Boston MA",644
"Charlotte NC","Boston MA",646
"Washington DC","Newark NJ",650
"Cincinnati OH","Chicago IL",653
"Charlotte NC","Baltimore MD",654
"Salt Lake City UT","Las Vegas NV",654
"Phoenix AZ","Atlanta GA",655
"San Diego CA","Las Vegas NV",655
"Fort Lauderdale FL","Baltimore MD",656
"Pittsburgh PA","Atlanta GA",656
"Phoenix AZ","Ontario CA",659
"Salt Lake City UT","Chicago IL",660
"Indianapolis IN","Atlanta GA",663
"Dallas TX","Austin TX",667
"Phoenix AZ","Minneapolis MN",669
"Phoenix AZ","Burbank CA",670
"Orlando FL","Baltimore MD",676
"Richmond VA","Atlanta GA",688
"New York NY","Denver CO",692
"Philadelphia PA","Dallas/Fort Worth TX",692
"West Palm Beach/Palm Beach FL","New York NY",700
"Denver CO","Atlanta GA",701
"Santa Barbara CA","Los Angeles CA",705
"West Palm Beach/Palm Beach FL","Atlanta GA",707
"Las Vegas NV","Dallas/Fort Worth TX",716
"Houston TX","Corpus Christi TX",717
"Miami FL","Charlotte NC",721
"San Diego CA","Denver CO",721
"Newark NJ","Atlanta GA",728
"Las Vegas NV","Atlanta GA",730
"San Antonio TX","Dallas TX",734
"Newark NJ","Fort Lauderdale FL",740
"Las Vegas NV","Houston TX",742
"Fort Myers FL","Atlanta GA",747
"Chicago IL","Baltimore MD",748
"Washington DC","Los Angeles CA",756
"Washington DC","Houston TX",757
"Newark NJ","Charlotte NC",762
"Phoenix AZ","Albuquerque NM",762
"Washington DC","Detroit MI",763
"Washington DC","San Francisco CA",768
"Phoenix AZ","Houston TX",772
"Des Moines IA","Chicago IL",783
"Newark NJ","Houston TX",786
"Oakland CA","Burbank CA",788
"Seattle WA","Phoenix AZ",788
"Tampa FL","New York NY",788
"Houston TX","Charlotte NC",794
"San Francisco CA","Phoenix AZ",794
"Los Angeles CA","Atlanta GA",797
"Seattle WA","Anchorage AK",798
"Santa Ana CA","Phoenix AZ",802
"Boston MA","Atlanta GA",807
"Philadelphia PA","Boston MA",807
"Philadelphia PA","Orlando FL",809
"Dallas/Fort Worth TX","Charlotte NC",816
"New York NY","Minneapolis MN",817
"Seattle WA","Denver CO",817
"Memphis TN","Atlanta GA",820
"Santa Ana CA","San Francisco CA",820
"Detroit MI","Atlanta GA",824
"San Juan PR","New York NY",824
"Jacksonville FL","Atlanta GA",836
"Washington DC","Miami FL",836
"Washington DC","Denver CO",840
"Los Angeles CA","Honolulu HI",844
"Omaha NE","Chicago IL",844
"Orlando FL","Newark NJ",845
"Seattle WA","Los Angeles CA",863
"Newark NJ","Boston MA",870
"Washington DC","Orlando FL",870
"Dallas/Fort Worth TX","Austin TX",878
"Las Vegas NV","Chicago IL",879
"New Orleans LA","Atlanta GA",891
"Raleigh/Durham NC","Atlanta GA",898
"Pittsburgh PA","Chicago IL",901
"Phoenix AZ","Dallas/Fort Worth TX",904
"San Antonio TX","Dallas/Fort Worth TX",906
"Boston MA","Baltimore MD",907
"Minneapolis MN","Denver CO",911
"Columbus OH","Chicago IL",919
"Houston TX","Austin TX",923
"Minneapolis MN","Atlanta GA",924
"San Francisco CA","Denver CO",941
"Salt Lake City UT","Los Angeles CA",942
"Houston TX","Denver CO",949
"Oakland CA","Los Angeles CA",952
"Orlando FL","Chicago IL",964
"San Antonio TX","Houston TX",985
"New York NY","Dallas/Fort Worth TX",998
"Washington DC","Dallas/Fort Worth TX",998
"Salt Lake City UT","Phoenix AZ",1005
"San Francisco CA","Dallas/Fort Worth TX",1010
"Honolulu HI","Hilo HI",1018
"San Jose CA","Los Angeles CA",1018
"Los Angeles CA","Houston TX",1023
"St. Louis MO","Chicago IL",1023
"Seattle WA","San Francisco CA",1029
"Sacramento CA","Los Angeles CA",1031
"Las Vegas NV","Denver CO",1038
"New York NY","Detroit MI",1043
"San Diego CA","Phoenix AZ",1058
"Chicago IL","Charlotte NC",1059
"Denver CO","Dallas/Fort Worth TX",1059
"Washington DC","Charlotte NC",1084
"Baltimore MD","Atlanta GA",1096
"Chicago IL","Boston MA",1109
"New Orleans LA","Houston TX",1121
"Philadelphia PA","Atlanta GA",1130
"Raleigh/Durham NC","New York NY",1134
"Miami FL","Atlanta GA",1141
"Nashville TN","Chicago IL",1150
"Phoenix AZ","Chicago IL",1154
"Tampa FL","Atlanta GA",1158
"Dallas/Fort Worth TX","Chicago IL",1241
"Dallas/Fort Worth TX","Atlanta GA",1249
"Charlotte NC","Atlanta GA",1258
"Salt Lake City UT","Denver CO",1259
"Fort Lauderdale FL","Atlanta GA",1263
"San Francisco CA","San Diego CA",1266
"Lihue HI","Honolulu HI",1267
"Phoenix AZ","Las Vegas NV",1272
"Los Angeles CA","Denver CO",1288
"Los Angeles CA","Dallas/Fort Worth TX",1317
"San Francisco CA","Chicago IL",1326
"San Francisco CA","New York NY",1341
"Houston TX","Chicago IL",1344
"Newark NJ","Chicago IL",1350
"New York NY","Charlotte NC",1352
"Kansas City MO","Chicago IL",1357
"Philadelphia PA","Chicago IL",1375
"Kona HI","Honolulu HI",1377
"Houston TX","Dallas/Fort Worth TX",1386
"Denver CO","Chicago IL",1394
"Phoenix AZ","Denver CO",1395
"San Francisco CA","Las Vegas NV",1408
"New York NY","Miami FL",1466
"Los Angeles CA","Chicago IL",1481
"Orlando FL","Atlanta GA",1483
"Orlando FL","New York NY",1508
"Cleveland OH","Chicago IL",1512
"Washington DC","Chicago IL",1574
"Phoenix AZ","Los Angeles CA",1577
"New York NY","Fort Lauderdale FL",1582
"New York NY","Boston MA",1629
"San Diego CA","Los Angeles CA",1674
"Washington DC","Boston MA",1685
"Detroit MI","Chicago IL",1699
"Minneapolis MN","Chicago IL",1713
"Houston TX","Dallas TX",1782
"Houston TX","Atlanta GA",1823
"Washington DC","Atlanta GA",1832
"Los Angeles CA","Las Vegas NV",1860
"New York NY","Chicago IL",1869
"New York NY","Los Angeles CA",1873
"Kahului HI","Honolulu HI",1993
"Washington DC","New York NY",2014
"New York NY","Atlanta GA",2064
"Chicago IL","Atlanta GA",2289
"San Francisco CA","Los Angeles CA",2662
