a,b,c
"Rochester NY","Orlando FL",61
"Washington DC","Pensacola FL",61
"Washington DC","Philadelphia PA",61
"Baltimore MD","Albuquerque NM",62
"Boston MA","Akron OH",62
"Branson MO","Atlanta GA",62
"Charlotte NC","Allentown/Bethlehem/Easton PA",62
"Chicago IL","Burlington VT",62
"Chicago IL","Chattanooga TN",62
"Colorado Springs CO","Atlanta GA",62
"Dallas/Fort Worth TX","Aspen CO",62
"Dallas/Fort Worth TX","Bloomington/Normal IL",62
"Dallas/Fort Worth TX","Champaign/Urbana IL",62
"Denver CO","Anchorage AK",62
"Denver CO","Bend/Redmond OR",62
"Denver CO","Cody WY",62
"Eagle CO","Atlanta GA",62
"Eagle CO","Chicago IL",62
"Evansville IN","Dallas/Fort Worth TX",62
"Fairbanks AK","Barrow AK",62
"Fort Lauderdale FL","Albany NY",62
"Fort Lauderdale FL","Columbus OH",62
"Fort Myers FL","Buffalo NY",62
"Fort Myers FL","Denver CO",62
"Harlingen/San Benito TX","Austin TX",62
"Hartford CT","Denver CO",62
"Hartford CT","Fort Myers FL",62
"Hayden CO","Dallas/Fort Worth TX",62
"Honolulu HI","Anchorage AK",62
"Honolulu HI","Atlanta GA",62
"Honolulu HI","Bellingham WA",62
"Honolulu HI","Guam TT",62
"Houston TX","Charleston/Dunbar WV",62
"Houston TX","Eagle CO",62
"Houston TX","Grand Rapids MI",62
"Houston TX","Hayden CO",62
"Houston TX","Honolulu HI",62
"Jackson/Vicksburg MS","Baltimore MD",62
"Jacksonville FL","Birmingham AL",62
"Jacksonville FL","Boston MA",62
"Jacksonville FL","Denver CO",62
"Kahului HI","Dallas/Fort Worth TX",62
"Ketchikan AK","Juneau AK",62
"Knoxville TN","Denver CO",62
"Las Vegas NV","Amarillo TX",62
"Las Vegas NV","Bellingham WA",62
"Las Vegas NV","Birmingham AL",62
"Las Vegas NV","Buffalo NY",62
"Las Vegas NV","Fort Lauderdale FL",62
"Little Rock AR","Baltimore MD",62
"Little Rock AR","Las Vegas NV",62
"Long Beach CA","Austin TX",62
"Los Angeles CA","Eagle CO",62
"Los Angeles CA","Jackson WY",62
"Louisville KY","Las Vegas NV",62
"Manchester NH","Denver CO",62
"Manchester NH","Fort Lauderdale FL",62
"Miami FL","Eagle CO",62
"Miami FL","Hartford CT",62
"Miami FL","Memphis TN",62
"Milwaukee WI","Fort Lauderdale FL",62
"Milwaukee WI","Los Angeles CA",62
"Minneapolis MN","Alpena MI",62
"Minneapolis MN","International Falls MN",62
"Monterey CA","Denver CO",62
"Montrose/Delta CO","Chicago IL",62
"Montrose/Delta CO","Dallas/Fort Worth TX",62
"Nashville TN","Boston MA",62
"Nashville TN","Charleston SC",62
"Nashville TN","Greer SC",62
"New Orleans LA","Boston MA",62
"New Orleans LA","Kansas City MO",62
"New York NY","Eagle CO",62
"New York NY","Honolulu HI",62
"Newark NJ","Aguadilla PR",62
"Newark NJ","Eagle CO",62
"Newark NJ","Honolulu HI",62
"Newark NJ","Myrtle Beach SC",62
"Newburgh/Poughkeepsie NY","Fort Lauderdale FL",62
"Norfolk VA","Houston TX",62
"Norfolk VA","Nashville TN",62
"Oakland CA","Kona HI",62
"Oakland CA","Lihue HI",62
"Oklahoma City OK","Baltimore MD",62
"Ontario CA","Chicago IL",62
"Orlando FL","Dayton OH",62
"Orlando FL","Grand Rapids MI",62
"Orlando FL","Greer SC",62
"Orlando FL","Jackson/Vicksburg MS",62
"Orlando FL","Key West FL",62
"Palm Springs CA","Houston TX",62
"Pasco/Kennewick/Richland WA","Minneapolis MN",62
"Petersburg AK","Juneau AK",62
"Philadelphia PA","Austin TX",62
"Philadelphia PA","Hartford CT",62
"Phoenix AZ","Buffalo NY",62
"Phoenix AZ","Little Rock AR",62
"Phoenix AZ","Louisville KY",62
"Phoenix AZ","New Orleans LA",62
"Ponce PR","New York NY",62
"Portland ME","Charlotte NC",62
"Portland OR","Boston MA",62
"Portland OR","Kansas City MO",62
"Portland OR","Klamath Falls OR",62
"Portland OR","Palm Springs CA",62
"Providence RI","Denver CO",62
"Raleigh/Durham NC","Denver CO",62
"Raleigh/Durham NC","Las Vegas NV",62
"Rapid City SD","Dallas/Fort Worth TX",62
"Richmond VA","Fort Lauderdale FL",62
"Richmond VA","Miami FL",62
