x,y
3353,137
3353,122
3353,139
3353,126
3353,138
3353,130
3353,111
3353,126
3353,165
3353,126
3353,127
3353,140
3353,132
3353,139
3354,138
3354,103
3354,99
3354,100
3354,114
3354,103
3354,97
3354,117
3354,105
3354,95
3354,112
3354,102
3354,93
3354,118
3354,109
3354,105
3354,105
3354,119
3354,95
3354,102
3354,110
3354,126
3354,97
3354,109
3354,105
3354,103
3354,98
3354,159
3354,213
3355,153
3355,203
3355,189
3355,186
3355,195
3355,192
3355,216
3355,238
3355,195
3355,207
3355,205
3355,203
3355,216
3355,214
3355,214
3355,202
3355,224
3355,203
3355,193
3355,176
3355,188
3355,226
3355,234
3355,181
3355,190
3355,210
3355,215
3355,196
3355,185
3355,187
3355,130
3356,122
3356,116
3356,117
3356,101
3356,98
3356,88
3356,102
3356,111
3356,107
3356,132
3356,95
3356,104
3356,102
3356,96
3356,101
3356,107
3356,108
3356,101
3356,112
3356,113
3356,101
3356,112
3356,96
3356,112
3356,117
3356,96
3357,101
3357,73
3357,73
3357,98
3357,82
3357,86
3357,100
3357,81
3357,83
3357,85
3357,134
3357,71
3357,109
3357,74
3357,76
3357,92
3357,77
3357,84
3357,85
3357,93
3357,77
3357,81
3357,82
3357,58
3357,61
3358,94
3358,103
3358,110
3358,102
3358,105
3358,110
3358,119
3358,105
3358,101
3358,109
3358,120
3358,105
3358,109
3358,109
3358,122
3358,99
3358,118
3358,110
3358,125
3358,121
3359,196
3359,202
3359,86
3359,104
3359,77
3359,98
3359,110
3359,88
3359,90
3359,101
3359,97
3359,102
3359,94
3359,106
3359,100
3359,81
3359,93
3359,78
3359,87
3359,83
3359,86
3359,87
3359,83
3359,93
3359,120
3359,91
3359,125
3359,75
3359,86
3360,76
3360,69
3360,79
3360,84
3360,71
3360,67
3360,69
3360,83
3360,70
3360,76
3360,74
3360,79
3360,58
3360,65
3360,88
3360,77
3360,70
3360,77
3360,119
3360,93
