CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
0,0,0,0,66
12,0,10,0,0
0,0,0,0,22
122,0,0,0,7
0,0,17,0,0
0,0,43,0,0
79,0,0,0,0
0,0,6,0,12
11,0,0,0,7
0,0,26,0,0
0,0,19,0,0
99,0,0,0,16
0,0,20,0,0
0,0,5,0,11
0,0,18,0,0
0,0,28,0,0
0,0,40,0,0
0,0,21,0,0
92,0,0,0,21
0,0,16,0,0
0,0,25,0,0
0,29,1,0,0
17,0,0,0,0
0,0,97,0,0
213,0,0,0,0
177,0,0,0,0
17,0,0,0,12
9,0,15,0,0
6,0,1,0,16
45,0,0,0,0
20,0,0,0,0
0,0,8,0,19
6,0,14,0,72
0,0,5,0,30
1,0,0,0,18
0,0,6,0,32
42,0,0,0,1
0,0,0,0,164
5,0,0,0,35
0,0,0,0,59
0,0,20,0,0
0,0,12,0,11
0,0,19,0,68
0,0,26,0,269
0,61,0,0,0
0,0,0,0,122
0,0,18,0,0
121,0,0,0,0
0,0,0,0,15
17,0,0,0,0
0,0,17,0,0
0,26,3,0,0
15,0,0,0,1
15,0,2,0,0
0,0,15,0,0
55,0,0,0,0
59,0,0,0,0
0,0,11,0,44
0,0,0,0,110
18,0,36,0,0
17,0,0,0,0
685,0,2,0,0
8,0,9,0,0
4,0,0,0,108
42,0,22,0,45
0,0,20,0,0
0,0,4,0,112
0,0,19,0,0
0,0,24,0,0
0,0,0,0,17
0,0,0,0,64
0,0,24,0,0
17,0,0,0,0
39,0,8,0,0
0,0,0,0,174
16,0,0,0,0
0,0,0,0,187
2,0,0,0,78
0,0,15,0,0
15,0,0,0,1
0,0,12,0,8
174,0,0,0,0
0,0,25,0,0
0,0,8,0,93
0,0,20,0,0
18,0,0,0,0
0,0,33,0,0
0,0,0,0,19
0,0,32,0,0
21,0,2,0,0
11,0,1,0,54
0,0,34,0,0
0,0,6,0,14
0,0,0,0,40
55,0,0,0,0
13,0,0,0,33
65,0,2,0,0
87,0,12,0,14
21,0,0,0,16
0,0,0,0,30
0,0,0,0,34
0,0,0,0,41
95,0,10,0,0
0,52,5,0,113
0,0,0,0,15
0,0,37,0,0
100,0,0,0,0
0,0,11,0,13
0,0,40,0,0
42,0,0,0,0
0,0,15,0,0
0,0,16,0,24
2,0,14,0,5
21,0,4,0,0
0,0,0,0,26
14,0,0,0,85
0,0,18,0,30
0,0,0,0,20
65,0,0,0,0
5,0,9,0,244
0,0,18,0,0
0,0,0,0,35
3,0,16,0,3
99,0,0,0,1
27,0,0,0,0
0,0,6,0,249
8,0,0,0,10
2,0,9,0,5
0,0,32,0,0
0,0,12,0,19
37,0,0,0,0
0,0,23,0,0
0,0,0,0,67
0,0,0,0,104
0,0,10,0,18
0,0,21,0,0
0,0,7,0,208
159,0,0,0,0
82,0,0,0,42
21,0,2,0,0
0,0,0,0,83
9,0,20,0,0
0,0,17,0,0
915,0,1,0,3
151,0,0,0,0
0,0,73,0,0
147,0,0,0,0
6,0,10,0,0
0,0,21,0,0
0,716,42,0,0
185,0,0,0,0
0,3,35,0,4
40,0,0,0,0
431,0,0,0,0
0,0,17,0,0
23,0,5,0,0
0,0,5,0,20
0,0,20,0,0
0,0,0,0,48
0,35,0,0,18
30,0,0,0,0
32,163,8,0,0
0,0,0,0,33
0,15,0,0,0
23,0,7,0,0
0,0,28,0,0
0,0,26,0,0
35,0,0,0,11
0,0,20,0,0
0,127,30,0,88
13,0,0,0,7
24,0,0,0,0
31,0,10,0,0
0,0,10,0,28
84,0,13,0,0
42,0,5,0,0
15,0,19,0,0
0,0,17,0,0
62,0,0,0,0
0,0,25,0,0
6,0,0,0,14
135,0,0,0,0
0,0,18,0,0
0,0,3,0,160
0,0,0,0,37
18,0,3,0,0
29,0,17,0,0
44,0,0,0,0
0,0,0,0,112
0,0,0,0,140
0,12,18,0,37
0,0,14,0,14
0,0,16,0,0
95,0,0,0,0
19,0,0,0,0
15,0,0,0,0
